city,year,weekofyear,total_cases
sj,2011,4,17
sj,2011,5,17
sj,2011,6,19
sj,2011,7,12
sj,2011,8,15
sj,2011,9,18
sj,2011,10,11
sj,2011,11,18
sj,2011,12,17
sj,2011,13,19
sj,2011,14,21
sj,2011,15,19
sj,2011,16,22
sj,2011,17,14
sj,2011,18,25
sj,2011,19,23
sj,2011,20,30
sj,2011,21,40
sj,2011,22,41
sj,2011,23,40
sj,2011,24,49
sj,2011,25,42
sj,2011,26,43
sj,2011,27,41
sj,2011,28,43
sj,2011,29,40
sj,2011,30,44
sj,2011,31,45
sj,2011,32,46
sj,2011,33,46
sj,2011,34,52
sj,2011,35,41
sj,2011,36,40
sj,2011,37,46
sj,2011,38,42
sj,2011,39,43
sj,2011,40,40
sj,2011,41,41
sj,2011,42,37
sj,2011,43,36
sj,2011,44,39
sj,2011,45,32
sj,2011,46,39
sj,2011,47,38
sj,2011,48,30
sj,2011,49,21
sj,2011,50,32
sj,2011,51,25
sj,2012,52,24
sj,2012,1,22
sj,2012,2,20
sj,2012,3,20
sj,2012,4,16
sj,2012,5,19
sj,2012,6,17
sj,2012,7,11
sj,2012,8,16
sj,2012,9,17
sj,2012,10,16
sj,2012,11,19
sj,2012,12,15
sj,2012,13,20
sj,2012,14,21
sj,2012,15,22
sj,2012,16,26
sj,2012,17,20
sj,2012,18,28
sj,2012,19,31
sj,2012,20,34
sj,2012,21,30
sj,2012,22,28
sj,2012,23,33
sj,2012,24,37
sj,2012,25,36
sj,2012,26,38
sj,2012,27,41
sj,2012,28,41
sj,2012,29,39
sj,2012,30,38
sj,2012,31,40
sj,2012,32,40
sj,2012,33,43
sj,2012,34,44
sj,2012,35,35
sj,2012,36,37
sj,2012,37,38
sj,2012,38,36
sj,2012,39,43
sj,2012,40,45
sj,2012,41,42
sj,2012,42,44
sj,2012,43,45
sj,2012,44,40
sj,2012,45,40
sj,2012,46,43
sj,2012,47,43
sj,2012,48,31
sj,2012,49,30
sj,2012,50,26
sj,2012,51,23
sj,2013,1,22
sj,2013,2,24
sj,2013,3,23
sj,2013,4,15
sj,2013,5,21
sj,2013,6,17
sj,2013,7,16
sj,2013,8,13
sj,2013,9,18
sj,2013,10,17
sj,2013,11,18
sj,2013,12,21
sj,2013,13,19
sj,2013,14,15
sj,2013,15,21
sj,2013,16,24
sj,2013,17,21
iq,2010,26,0
iq,2010,27,3
iq,2010,28,21
iq,2010,29,6
iq,2010,30,2
iq,2010,31,2
iq,2010,32,0
iq,2010,33,0
iq,2010,34,0
iq,2010,35,11
iq,2010,36,13
iq,2010,37,12
iq,2010,38,7
iq,2010,39,4
iq,2010,40,14
iq,2010,41,2
iq,2010,42,0
iq,2010,43,23
iq,2010,44,22
iq,2010,45,26
iq,2010,46,5
iq,2010,47,22
iq,2010,48,11
iq,2010,49,12
iq,2010,50,12
iq,2010,51,8
iq,2011,52,15
iq,2011,1,7
iq,2011,2,15
iq,2011,3,11
iq,2011,4,9
iq,2011,5,15
iq,2011,6,13
iq,2011,7,17
iq,2011,8,13
iq,2011,9,19
iq,2011,10,11
iq,2011,11,12
iq,2011,12,12
iq,2011,13,20
iq,2011,14,15
iq,2011,15,10
iq,2011,16,14
iq,2011,17,17
iq,2011,18,23
iq,2011,19,5
iq,2011,20,7
iq,2011,21,5
iq,2011,22,1
iq,2011,23,10
iq,2011,24,9
iq,2011,25,0
iq,2011,26,9
iq,2011,27,4
iq,2011,28,0
iq,2011,29,0
iq,2011,30,0
iq,2011,31,0
iq,2011,32,0
iq,2011,33,0
iq,2011,34,0
iq,2011,35,0
iq,2011,36,0
iq,2011,37,8
iq,2011,38,10
iq,2011,39,9
iq,2011,40,6
iq,2011,41,9
iq,2011,42,27
iq,2011,43,11
iq,2011,44,10
iq,2011,45,16
iq,2011,46,28
iq,2011,47,12
iq,2011,48,16
iq,2011,49,12
iq,2011,50,20
iq,2011,51,19
iq,2012,52,15
iq,2012,1,16
iq,2012,2,9
iq,2012,3,17
iq,2012,4,8
iq,2012,5,11
iq,2012,6,20
iq,2012,7,6
iq,2012,8,7
iq,2012,9,7
iq,2012,10,11
iq,2012,11,7
iq,2012,12,12
iq,2012,13,16
iq,2012,14,11
iq,2012,15,11
iq,2012,16,21
iq,2012,17,14
iq,2012,18,5
iq,2012,19,1
iq,2012,20,18
iq,2012,21,0
iq,2012,22,0
iq,2012,23,4
iq,2012,24,0
iq,2012,25,0
iq,2012,26,3
iq,2012,27,0
iq,2012,28,12
iq,2012,29,3
iq,2012,30,9
iq,2012,31,0
iq,2012,32,3
iq,2012,33,0
iq,2012,34,5
iq,2012,35,15
iq,2012,36,8
iq,2012,37,0
iq,2012,38,0
iq,2012,39,5
iq,2012,40,7
iq,2012,41,14
iq,2012,42,6
iq,2012,43,16
iq,2012,44,14
iq,2012,45,23
iq,2012,46,14
iq,2012,47,25
iq,2012,48,30
iq,2012,49,15
iq,2012,50,21
iq,2012,51,22
iq,2013,1,20
iq,2013,2,1
iq,2013,3,8
iq,2013,4,14
iq,2013,5,14
iq,2013,6,13
iq,2013,7,13
iq,2013,8,18
iq,2013,9,2
iq,2013,10,11
iq,2013,11,6
iq,2013,12,19
iq,2013,13,14
iq,2013,14,7
iq,2013,15,3
iq,2013,16,25
iq,2013,17,15
iq,2013,18,0
iq,2013,19,12
iq,2013,20,14
iq,2013,21,15
iq,2013,22,10
iq,2013,23,7
iq,2013,24,7
iq,2013,25,0
iq,2013,26,0
